Just invoke the DPA! We gave you the power we want you to use it! #coronavirus https://t.co/LNuHZnBAp9,2020-03-27 15:54:10,Twitter for iPhone,22,158,corona; 
@dmwoof Everything is related to covid-19. It is an economic stimulus bill. What are you referring to?,2020-03-27 13:55:28,Twitter for iPhone,0,0,covid; 
I am now an fully awake on my red eye to DC! But thank you to @repgosar answering the call when the flight attendants asked for anyone with medical background! He answered when a young man passed out suddenly on this flight!  #coronavirus,2020-03-27 09:13:35,Twitter for iPhone,50,353,corona; 
Heading to the airport now to vote in DC. am going just like every person that picks our food works at a hospital picks up the garbage. I am doing it because it is my fucking job. But I get a comfortable salary our essential workers should get same. #coronavirus,2020-03-27 06:12:58,Twitter for iPhone,148,977,corona; 
@cestlavieinus If the doctors and nurse don’t have enough masks members of Congress should not taking any. #coronavirus,2020-03-27 02:23:02,Twitter for iPhone,9,87,corona; 
I am jumping on the red eye tonight... thanks Massie. #coronavirus https://t.co/gkhaciDmPr,2020-03-27 02:04:36,Twitter for iPhone,104,527,corona; 
@NikkiHaley Answer jobs. Why aren’t you complaining about Boeing getting a bailout... oh that’s right because they have jobs in South Carolina #coronavirus,2020-03-27 00:23:56,Twitter for iPhone,21,172,corona; 
@BarnettforAZ @realDonaldTrump I hope I am wrong!!! As leaders we should do everything to prove me wrong. The problem is that this President hasnt done enough to make it happen.  #coronavirus,2020-03-26 06:32:34,Twitter for iPhone,1,0,corona; 
Coronavirus kills worker at NYC hospital short of gear masks. Heck of a job ⁦@realDonaldTrump⁩  https://t.co/Lp9FwAqayy,2020-03-26 02:46:19,Twitter for iPhone,274,417,corona; 
@MichLKosinski Looks like Secretary of State Pompeo finally finished his puzzle. #coronavirus,2020-03-26 02:43:32,Twitter for iPhone,1,5,corona; 
.@realDonaldTrump and his enablers are killing Americans #coronavirus https://t.co/CThcRHckUf,2020-03-26 01:58:36,Twitter for iPhone,33,104,corona; 
Where are the tests? Weren’t we supposed to be able to go parking lots of stores and get our tests by now? #coronavirus https://t.co/YsJv0XnPTz,2020-03-25 20:09:10,Twitter for iPhone,26,98,corona; 
You are either helping or hurting right now. McConnell’s hand picked partisan ploys are helping no one.... #coronavirus https://t.co/2FSMPdM0rb,2020-03-25 19:32:26,Twitter for iPhone,10,59,corona; 
Wait what happened to the pearl clutching about the Dems holding up the bill and ruining America.... #coronavirus https://t.co/YWGGqAEkvz,2020-03-25 19:27:08,Twitter for iPhone,37,123,corona; 
.@realDonaldTrump what ever happened to testing at Walmart CVS and Walgreen parking lots? What happened to Google working on a site? Wasn’t that all supposed to be delivered by now? Where are the tests? #coronavirus,2020-03-25 18:21:25,Twitter for iPhone,603,1931,corona; 
The current version of the Republican Senate Bill is missing $10 billion that is supposed to go to Indian Country. If @SenMcSallyAZ who sits on the Senate Indian Affairs Committee cant secure it well what good is she is for Arizona? #coronavirus #azsen https://t.co/kEYHxlMqW7,2020-03-25 02:35:44,Twitter for iPhone,156,426,corona; 
Ok this is scary. These guys don’t shut down for hurricanes.  #coronavirus https://t.co/kkar5KuVdD,2020-03-25 02:01:24,Twitter for iPhone,24,132,corona; 
Isn’t this the same crowd that says abortion decisions shouldn’t be made for personal economic decisions.  But yet they are “pro-life” #coronavirus https://t.co/sZeidCqQI1,2020-03-24 15:18:20,Twitter for iPhone,17,98,corona; 
He got the idea from @realDonaldTrump He never would have thought of it with out Trumps big mouth. #coronavirus https://t.co/GMO3YSya5e,2020-03-24 14:50:44,Twitter for iPhone,10,75,corona; 
Ok in a non #coronavirus news. Just watched a #loveisblind episode where they compare their love to Caesar and Cleopatra like ... https://t.co/4adZeJTdg7,2020-03-24 04:59:39,Twitter for iPhone,2,52,corona; 
Bless me @SydneyBarron5 is making me watch Love is Blind. #coronavirus,2020-03-24 02:38:17,Twitter for iPhone,2,14,corona; 
.@realDonaldTrump yeah but he is not too blame. #coronavirus https://t.co/j9DVz6DpBJ,2020-03-24 01:04:39,Twitter for iPhone,24,47,corona; 
I am going to trust the Nobel Prize winning economist on this one. #coronavirus https://t.co/e0j05TuxDM,2020-03-24 00:25:35,Twitter for iPhone,17,70,corona; 
.@realdonaldtrump your ego is going to kill my constituents.  #coronavirus #COVIDー19 https://t.co/B5FyrwH5qn,2020-03-23 23:56:26,Twitter for iPhone,103,381,covid; corona; 
Is anyone really surprised that a Libertarian would put society at risk instead of making an individual sacrifice? But I’m sure he’s going to give up his salary while he is on paid leave. #coronavirus https://t.co/VQf9HaXhu6,2020-03-22 22:13:02,Twitter for iPhone,48,263,corona; 
