name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Bob Casey Jr.,Sen,SenBobCasey,Bob_Casey,40703,14,0,PA,100,1960,-0.306,0.18,20070103,NA,,,
Bill Cassidy,Sen,SenBillCassidy,BillCassidy,20919,45,0,LA,200,1957,0.454,-0.096,20150103,NA,,,
Susan Collins,Sen,SenatorCollins,SenSusanCollins,49703,2,0,ME,200,1952,0.112,-0.545,19970103,NA,,,
Chris Coons,Sen,ChrisCoons,ChrisCoonsforDE,40916,11,0,DE,100,1963,-0.223,-0.214,20101115,NA,,,
John Cornyn,Sen,JohnCornyn,TeamCornyn,40305,49,0,TX,200,1952,0.495,-0.002,20021201,NA,,,
Catherine Cortez Masto,Sen,sencortezmasto,CatherineForNV,41700,65,0,NV,100,1964,-0.372,0.334,20170103,NA,,,
Tom Cotton,Sen,SenTomCotton,TomCottonAR,21301,42,0,AR,200,1977,0.581,0.098,20150103,NA,,,
Kevin Cramer,Sen,SenKevinCramer,kevincramer,21350,36,0,ND,200,1961,0.388,0.298,20190103,NA,,,
Mike Crapo,Sen,MikeCrapo,crapoforsenate,29345,63,0,ID,200,1951,0.51,0.291,19990103,NA,,,
Ted Cruz,Sen,SenTedCruz,tedcruz,41304,49,0,TX,200,1970,0.826,-0.304,20130103,NA,,,
Steve Daines,Sen,SteveDaines,DainesforMT,21338,64,0,MT,200,1962,0.555,-0.111,20150103,NA,,,
Tammy Duckworth,Sen,SenDuckworth,TammyforIL,21325,21,0,IL,100,1968,-0.334,0.111,20170103,NA,,,
Dick Durbin,Sen,SenatorDurbin,DickDurbin,15021,21,0,IL,100,1944,-0.353,-0.332,19970103,NA,,,
Mike Enzi,Sen,SenatorEnzi,EnziforWyo,49706,68,0,WY,200,1944,0.543,0.19,19970103,NA,,,
Joni Ernst,Sen,SenJoniErnst,joniernst,41502,31,0,IA,200,1970,0.531,-0.003,20150103,NA,,,
Dianne Feinstein,Sen,SenFeinstein,DianneFeinstein,49300,71,0,CA,100,1933,-0.268,-0.2,19921110,NA,,,
Deb Fischer,Sen,SenatorFischer,DebFischerNE,41302,35,0,NE,200,1951,0.473,0.33,20130103,NA,,,
Cory Gardner,Sen,SenCoryGardner,CoryGardner,21112,62,0,CO,200,1974,0.445,-0.012,20150103,NA,,,
Kirsten Gillibrand,Sen,GillibrandNY,SenGillibrand,20735,13,0,NY,100,1966,-0.465,-0.415,20090126,NA,,,
Lindsey Graham,Sen,GrahamBlog,LindseyGrahamSC,29566,48,0,SC,200,1955,0.406,-0.171,20030103,NA,,,
Chuck Grassley,Sen,ChuckGrassley,GrassleyWorks,14226,31,0,IA,200,1933,0.345,-0.067,19810103,NA,,,
Kamala Harris,Sen,SenKamalaHarris,KamalaHarris,41701,71,0,CA,100,1964,-0.714,-0.084,20170103,NA,,,
Maggie Hassan,Sen,Senatorhassan,Maggie_Hassan,41702,4,0,NH,100,1958,-0.241,-0.073,20170103,NA,,,
Josh Hawley,Sen,SenHawleyPress,HawleyMO,41901,34,0,MO,200,1979,0.589,-0.339,20190103,NA,,,
Martin Heinrich,Sen,MartinHeinrich,TeamHeinrich,20930,66,0,NM,100,1971,-0.322,-0.015,20130103,NA,,,
Mazie Hirono,Sen,MazieHirono,mazieforhawaii,20713,82,0,HI,100,1947,-0.51,-0.091,20130103,NA,,,
John Hoeven,Sen,SenJohnHoeven,hoeven4senate,41107,36,0,ND,200,1957,0.341,0.333,20110103,NA,,,
Cindy Hyde-Smith,Sen,SenHydeSmith,cindyhydesmith,41707,46,0,MS,200,1959,0.362,0.257,20180402,NA,,,
James Inhofe,Sen,JimInhofe,inhofeforsenate,15424,53,0,OK,200,1934,0.555,0.041,19941117,NA,,,
Johnny Isakson,Sen,SenatorIsakson,JohnnyIsakson,29909,44,0,GA,200,1944,0.402,-0.011,20050103,20190828,,,
Ron Johnson,Sen,SenRonJohnson,RonJohnsonWI,41111,25,0,WI,200,1955,0.6,-0.294,20110103,NA,,,
Doug Jones,Sen,sendougjones,DougJonesHQ,41705,41,0,AL,100,1954,-0.089,0.204,20180103,NA,,,
Tim Kaine,Sen,timkaine,,41305,40,0,VA,100,1958,-0.239,-0.079,20130103,NA,,,
John Kennedy,Sen,SenJohnKennedy,JohnKennedyLA,41703,45,0,LA,200,1951,0.552,0.272,20170103,NA,,,
Angus King,Sen,SenAngusKing,,41300,2,0,ME,328,1944,-0.155,-0.233,20130103,NA,,,
Amy Klobuchar,Sen,SenAmyKlobuchar,amyklobuchar,40700,33,0,MN,100,1960,-0.275,-0.313,20070103,NA,,,
James Lankford,Sen,SenatorLankford,jameslankford,21166,53,0,OK,200,1968,0.586,0.161,20150103,NA,,,
Patrick Leahy,Sen,SenatorLeahy,PatrickLeahy,14307,6,0,VT,100,1940,-0.362,-0.13,19750103,NA,,,
Mike Lee,Sen,SenMikeLee,MikeLeeforUtah,41110,67,0,UT,200,1971,0.915,-0.403,20110103,NA,,,
Kelly Loeffler,Sen,SenatorLoeffler,KLoeffler,29909,44,0,GA,200,1970,0.559,-0.209,20200106,NA,,,
Joe Manchin,Sen,Sen_JoeManchin,JoeManchinWV,40915,56,0,WV,100,1947,-0.055,0.445,20101115,NA,,,
Ed Markey,Sen,SenMarkey,EdMarkey,14435,3,0,MA,100,1946,-0.51,-0.448,20130716,NA,,,
Mitch McConnell,Sen,senatemajldr,Team_Mitch,14921,51,0,KY,200,1942,0.403,0,19850103,NA,,,
Martha McSally,Sen,SenMcSallyAZ,MarthaMcSally,21501,61,0,AZ,200,1966,0.345,0.025,20190103,NA,,,
Robert Menendez,Sen,SenatorMenendez,MenendezNJ,29373,12,0,NJ,100,1954,-0.366,-0.115,20060118,NA,,,
Jeff Merkley,Sen,SenJeffMerkley,JeffMerkley,40908,72,0,OR,100,1956,-0.449,-0.77,20090103,NA,,,
Jerry Moran,Sen,JerryMoran,moranforkansas,29722,32,0,KS,200,1954,0.413,0.211,20110103,NA,,,
Lisa Murkowski,Sen,LisaMurkowski,LisaForSenate,40300,81,0,AK,200,1957,0.21,-0.285,20021220,NA,,,
Chris Murphy,Sen,ChrisMurphyCT,senmurphyoffice,20707,1,0,CT,100,1973,-0.277,-0.194,20130103,NA,,,
Patty Murray,Sen,PattyMurray,MurrayCampaign,49308,73,0,WA,100,1950,-0.349,-0.285,19930103,NA,,,
Rand Paul,Sen,RandPaul,DrRandPaul,41104,51,0,KY,200,1963,0.878,-0.479,20110103,NA,,,
David Perdue,Sen,sendavidperdue,Perduesenate,41501,44,0,GA,200,1949,0.569,-0.091,20150103,NA,,,
Gary Peters,Sen,SenGaryPeters,GaryPeters,20923,23,0,MI,100,1958,-0.246,-0.203,20150103,NA,,,
Rob Portman,Sen,SenRobPortman,robportman,29386,24,0,OH,200,1955,0.373,-0.242,20110103,NA,,,
Jack Reed,Sen,SenJackReed,jackreed2020,29142,5,0,RI,100,1949,-0.373,-0.201,19970103,NA,,,
Jim Risch,Sen,SenatorRisch,Risch4Idaho,40902,63,0,ID,200,1943,0.634,0.566,20090103,NA,,,
Pat Roberts,Sen,SenPatRoberts,PatRoberts,14852,32,0,KS,200,1936,0.413,-0.092,19970103,NA,,,
Mitt Romney,Sen,SenatorRomney,MittRomney,41902,67,0,UT,200,1947,0.416,0.567,20190103,NA,,,
Jacky Rosen,Sen,SenJackyRosen,RosenforNevada,21743,65,0,NV,100,1957,-0.27,0.267,20190103,NA,,,
Mike Rounds,Sen,SenatorRounds,RoundsforSenate,41505,37,0,SD,200,1954,0.396,0.073,20150103,NA,,,
Marco Rubio,Sen,SenRubioPress,marcorubio,41102,43,0,FL,200,1971,0.575,-0.281,20110103,NA,,,
Bernie Sanders,Sen,SenSanders,BernieSanders,29147,6,0,VT,328,1941,-0.526,-0.371,20070103,NA,,,
Ben Sasse,Sen,SenSasse,TeamSasse,41503,35,0,NE,200,1972,0.802,-0.243,20150103,NA,,,
Brian Schatz,Sen,SenBrianSchatz,brianschatz,41112,82,0,HI,100,1972,-0.442,-0.073,20121227,NA,,,
Chuck Schumer,Sen,SenSchumer,chuckschumer,14858,13,0,NY,100,1950,-0.357,-0.396,19990103,NA,,,
Rick Scott,Sen,SenRickScott,ScottforFlorida,41903,43,0,FL,200,1952,0.489,0.156,20190108,NA,,,
Tim Scott,Sen,SenatorTimScott,votetimscott,21173,48,0,SC,200,1965,0.644,0.006,20130102,NA,,,
Jeanne Shaheen,Sen,SenatorShaheen,JeanneShaheen,40906,4,0,NH,100,1947,-0.239,-0.174,20090103,NA,,,
Richard Shelby,Sen,SenShelby,ShelbyForSenate,94659,41,0,AL,200,1934,0.428,0.517,19870103,NA,,,
Kyrsten Sinema,Sen,SenatorSinema,kyrstensinema,21300,61,0,AZ,100,1976,-0.102,0.058,20190103,NA,,,
Tina Smith,Sen,SenTinaSmith,TinaSmithMN,41706,33,0,MN,100,1958,-0.392,-0.096,20180103,NA,,,
Debbie Stabenow,Sen,SenStabenow,stabenow,29732,23,0,MI,100,1950,-0.34,-0.003,20010103,NA,,,
Dan Sullivan,Sen,SenDanSullivan,DanSullivan_AK,41500,81,0,AK,200,1964,0.473,0.114,20150103,NA,,,
Jon Tester,Sen,SenatorTester,jontester,40702,64,0,MT,100,1956,-0.218,0.146,20070103,NA,,,
John Thune,Sen,SenJohnThune,johnthune,29754,37,0,SD,200,1961,0.41,0.136,20050103,NA,,,
Thom Tillis,Sen,senthomtillis,ThomTillis,41504,47,0,NC,200,1960,0.43,0.067,20150103,NA,,,
Pat Toomey,Sen,SenToomey,PatToomey,29935,14,0,PA,200,1961,0.646,-0.299,20110103,NA,,,
Tom Udall,Sen,SenatorTomUdall,tomudall,29924,66,0,NM,100,1948,-0.451,0.17,20090103,NA,,,
Chris Van Hollen,Sen,ChrisVanHollen,VanHollenForMD,20330,52,0,MD,100,1959,-0.389,-0.187,20170103,NA,,,
Mark Warner,Sen,MarkWarner,MarkWarnerVA,40909,40,0,VA,100,1954,-0.201,-0.04,20090103,NA,,,
Elizabeth Warren,Sen,SenWarren,ewarren,41301,3,0,MA,100,1949,-0.769,-0.278,20130103,NA,,,
Sheldon Whitehouse,Sen,SenWhitehouse,SheldonforRI,40704,5,0,RI,100,1955,-0.364,-0.14,20070103,NA,,,
Roger Wicker,Sen,SenatorWicker,RogerWicker,29534,46,0,MS,200,1951,0.376,0.353,20071231,NA,,,
Ron Wyden,Sen,RonWyden,WydenForOregon,14871,72,0,OR,100,1949,-0.326,-0.451,19960206,NA,,,
Todd Young,Sen,SenToddYoung,ToddYoungIN,21133,22,0,IN,200,1972,0.478,-0.005,20170103,NA,,,
