name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Mario Diaz-Balart,Rep,MarioDB,MarioDBCamp,20316,43,25,FL,200,1961,0.278,0.115,20030103,NA,,,
Debbie Dingell,Rep,RepDebDingell,DebDingell,21529,23,12,MI,100,1953,-0.409,-0.135,20150103,NA,,,
Lloyd Doggett,Rep,RepLloydDoggett,LloydDoggettTX,29571,49,35,TX,100,1946,-0.402,-0.313,19950103,NA,,,
Michael F. Doyle,Rep,USRepMikeDoyle,rep_doyle,29561,14,18,PA,100,1953,-0.33,0.116,19950103,NA,,,
Sean Duffy,Rep,RepSeanDuffy,SeanDuffyWI,21189,25,7,WI,200,1971,0.511,-0.109,20110103,20190923,,,
Jeff Duncan,Rep,RepJeffDuncan,Duncan4Congress,21174,48,3,SC,200,1966,0.731,-0.191,20110103,NA,,,
Neal Dunn,Rep,drnealdunnfl2,DunnCampaign,21714,43,2,FL,200,1953,0.537,0.175,20170103,NA,,,
Tom Emmer,Rep,RepTomEmmer,tomemmer,21531,33,6,MN,200,1961,0.461,-0.042,20150103,NA,,,
Eliot Engel,Rep,RepEliotEngel,TeamEngel,15603,13,16,NY,100,1947,-0.408,-0.094,19890103,NA,,,
Veronica Escobar,Rep,RepEscobar,vgescobar,21917,49,16,TX,100,1969,-0.452,-0.308,20190103,NA,,,
Anna Eshoo,Rep,RepAnnaEshoo,Ashoo4Congress,29312,71,18,CA,100,1942,-0.381,-0.427,19930103,NA,,,
Adriano Espaillat,Rep,RepEspaillat,EspaillatNY,21715,13,13,NY,100,1954,-0.617,-0.13,20170103,NA,,,
Ron Estes,Rep,RepRonEstes,RonEsteKS,21750,32,4,KS,200,1956,0.598,0.09,20170411,NA,,,
Dwight Evans,Rep,RepDwightEvans,DwightEvansPA,21566,14,3,PA,100,1954,-0.451,-0.079,20161108,NA,,,
Drew Ferguson,Rep,RepDrewFerguson,DrewFergusonGA,21717,44,3,GA,200,1967,0.626,0.149,20170103,NA,,,
Abby Finkenauer,Rep,RepFinkenauer,TeamAbby4Iowa,21918,31,1,IA,100,1988,-0.245,0.483,20190103,NA,,,
Brian Fitzpatrick,Rep,repbrianfitz,BrianFitzUSA,21718,14,1,PA,200,1973,0.18,-0.189,20170103,NA,,,
Chuck Fleischmann,Rep,RepChuck,chuck4congress,21178,54,3,TN,200,1962,0.458,0.305,20110103,NA,,,
Lizzie Fletcher,Rep,RepFletcher,Lizzie4Congress,21919,49,7,TX,100,1975,-0.425,0.859,20190103,NA,,,
Bill Flores,Rep,RepBillFlores,Flores4Congress,21182,49,17,TX,200,1954,0.573,0.291,20110103,NA,,,
Jeff Fortenberry,Rep,JeffFortenberry,supportfortNE,20518,35,1,NE,200,1960,0.301,-0.061,20050103,NA,,,
Bill Foster,Rep,RepBillFoster,Foster4Congress,20749,21,11,IL,100,1955,-0.227,-0.229,20130103,NA,,,
Virginia Foxx,Rep,VirginiaFoxx,foxxforcongress,20521,47,5,NC,200,1943,0.631,0.119,20050103,NA,,,
Lois Frankel,Rep,RepLoisFrankel,LoisFrankel,21321,43,21,FL,100,1948,-0.401,-0.091,20130103,NA,,,
Marcia Fudge,Rep,RepMarciaFudge,mlfudge,20941,24,11,OH,100,1952,-0.581,0.141,20081118,NA,,,
Russ Fulcher,Rep,RepRussFulcher,RussFulcher,21920,63,1,ID,200,1973,0.617,0.068,20190103,NA,,,
Tulsi Gabbard,Rep,TulsiPress,TulsiGabbard,21324,82,2,HI,100,1981,-0.279,-0.255,20130103,NA,,,
Matt Gaetz,Rep,RepMattGaetz,mattgaetz,21719,43,1,FL,200,1982,0.623,-0.561,20170103,NA,,,
Mike Gallagher,Rep,RepGallagher,MikeforWI,21720,25,8,WI,200,1984,0.441,-0.035,20170103,NA,,,
Ruben Gallego,Rep,RepRubenGallego,RubenGallego,21502,61,7,AZ,100,1979,-0.45,-0.023,20150103,NA,,,
John Garamendi,Rep,RepGaramendi,JohnGaramendi,20958,71,3,CA,100,1945,-0.308,-0.096,20091103,NA,,,
Jesus García,Rep,RepChuyGarcia,ChuyForCongress,21921,21,4,IL,100,1956,-0.535,-0.555,20190103,NA,,,
Sylvia García,Rep,RepSylviaGarcia,LaCongresista,21922,49,29,TX,100,1950,-0.764,0.55,20190103,NA,,,
Mike Garcia,Rep,RepMikeGarcia,MikeGarcia2020,21988,71,25,CA,200,1976,0.431,0.451,20200512,NA,,,
Greg Gianforte,Rep,,GregForMontana,21751,64,1,MT,200,1961,0.43,0.108,20170621,NA,,,
Bob Gibbs,Rep,RepBobGibbs,Bob_Gibbs,21165,24,7,OH,200,1954,0.475,0.316,20110103,NA,,,
Louie Gohmert,Rep,RepLouieGohmert,LouieGohmertTX1,20527,49,1,TX,200,1953,0.623,-0.328,20050103,NA,,,
Jared Golden,Rep,repgolden,golden4congress,21923,2,2,ME,100,1982,-0.183,0.574,20190103,NA,,,
Jimmy Gomez,Rep,RepJimmyGomez,JimmyGomezCA,21754,71,34,CA,100,1974,-0.595,-0.055,20170606,NA,,,
Anthony Gonzalez,Rep,RepAGonzalez,anthonygonzalez,21924,24,16,OH,200,1984,0.292,0.206,20190103,NA,,,
Jenniffer González,Rep,RepJenniffer,JGO_2020,NA,NA,NA,PR,200,1976,NA,NA,20170103,NA,,,
Vicente González,Rep,RepGonzalez,VoteVicente,21722,49,15,TX,100,1967,-0.377,0.669,20170103,NA,,,
Lance Gooden,Rep,,LanceGooden,21925,49,5,TX,200,1982,0.723,0.128,20190103,NA,,,
Paul Gosar,Rep,RepGosar,DrPaulGoasr,21103,61,4,AZ,200,1958,0.674,-0.414,20110103,NA,,,
Josh Gottheimer,Rep,RepJoshG,Josh Gottheimer,21723,12,5,NJ,100,1975,-0.135,0.192,20170103,NA,,,
Kay Granger,Rep,RepKayGranger,GrangerCampaign,29762,49,12,TX,200,1943,0.397,0.239,19970103,NA,,,
Garret Graves,Rep,RepGarretGraves,garretgraves,21523,45,6,LA,200,1972,0.462,-0.078,20150103,NA,,,
Sam Graves,Rep,RepSamGraves,,20124,34,6,MO,200,1963,0.442,0.169,20010103,NA,,,
Tom Graves,Rep,RepTomGraves,,20962,44,14,GA,200,1970,0.724,-0.011,20100608,20201004,,,
Al Green,Rep,RepAlGreen,RepAlGreenTX,20529,49,9,TX,100,1947,-0.438,0.315,20050103,NA,,,
Mark E. Green,Rep,RepMarkGreen,DrMarkGreen4TN,21926,54,7,TN,200,1964,0.723,0.127,20190103,NA,,,
Morgan Griffith,Rep,RepMGriffith,MorganGriffith,21191,40,9,VA,200,1958,0.552,-0.438,20110103,NA,,,
Raúl Grijalva,Rep,RepraulGrijalva,standwithraul,20305,61,3,AZ,100,1948,-0.599,-0.255,20030103,NA,,,
Glenn Grothman,Rep,RepGrothman,GrothmanforWI,21559,25,6,WI,200,1955,0.618,-0.289,20150103,NA,,,
Michael Guest,Rep,RepMichaelGuest,GuestCongress,21927,46,3,MS,200,1970,0.477,0.257,20190103,NA,,,
Brett Guthrie,Rep,RepGuthrie,brettguthrie,20916,51,2,KY,200,1964,0.417,0.27,20090103,NA,,,
Debra Haaland,Rep,RepDebHaaland,Deb4CongressNM,21928,66,1,NM,100,1960,-0.295,-0.296,20190103,NA,,,
Jim Hagedorn,Rep,RepHagedorn,JimHagedornMN,21929,33,1,MN,200,1962,0.441,0.482,20190103,NA,,,
