Amen!  Titan Up! https://t.co/Wyf7bY764l,2020-01-12 14:26:51,Twitter Web App,11,33
Today as we remember the brave Americans who served in the Vietnam War I was reminded of the price those who returned paid.  When I came home from combat in Afghanistan and Iraq we were treated as heroes. (1/2),2019-03-29 13:11:13,Twitter for iPhone,4,21
Earlier this week I shared my thoughts on the #MuellerReport in an op-ed for the Wall Street Journal. Check it out here and let me know what you think! https://t.co/63ozly8ufb,2019-03-27 11:58:26,Twitter for iPhone,1,12
The elite Democrat leadership would rather have an open border than a well-equipped Marine Corps. That is a tragedy and we must fight it. https://t.co/IJDzM735Og,2019-03-24 15:18:54,Twitter for iPhone,3,14
The Democrats’ 2020 presidential candidates are at it again! Their latest plan? To expand the number of Supreme Court justices so they can pack the Court. I introduced a constitutional amendment yesterday to prevent that. Check out my thoughts here. https://t.co/IJDzM735Og,2019-03-22 16:11:17,Twitter for iPad,2,12
I’m proud to introduce an innovative bill to make college more accessible to families across Tennessee—all without more government involvement. Check it out here! https://t.co/R3opzdxjDq,2019-03-21 21:07:41,Twitter for iPhone,3,14
Great to be back at the State Capitol today visiting old friends and colleagues! https://t.co/moXVMwQN6x,2019-03-18 22:52:41,Twitter for iPhone,1,21
The President is right to veto the resolution. We have a real national emergency at the border and I’m standing with President Trump to build the wall and secure our border!  https://t.co/MZDvt64Siw,2019-03-17 17:26:51,Twitter for iPhone,10,42
Pista is retiring today after 10 years of service first in the Mil w 2 trips to Afghanistan and duty w Capitol Police.  Service dogs are awesome! https://t.co/1tQy8pkTu4,2019-03-13 18:12:27,Twitter for iPhone,5,35
Alice Brigham who was my Legislative Assistant in the State Senate and a longtime public servant in Tennessee retires today. Congratulations Alice on a well-deserved retirement! We wish you all the very best. https://t.co/7pLw5xKvF6,2019-03-13 11:12:39,Twitter for iPhone,6,60
Lately the Democrat Party has been marked by a radical shift to the left with the Green New Deal Medicare for All infanticide and HR 1. The question I pose to you now dear Democrat reader is are you okay with that? https://t.co/VZDh13Xau5,2019-03-09 15:39:45,Twitter for iPhone,6,17
Congratulations to Bill Powers on winning the Republican nomination for State Senate in District 22. Bill is a good friend dedicated public servant and will make a great State Senator! I’m looking forward to doing everything I can to help him win the general election.,2019-03-08 03:38:29,Twitter for iPhone,3,19
We will vote on HR 1 the “Fill the Swamp Act” tomorrow which is both unnecessary and unconstitutional. Check out my thoughts here: https://t.co/NYHQdTAXrk,2019-03-08 01:18:37,Twitter for iPhone,5,21
.@GovBillLee couldn’t be more right: “The state of our state is hopeful prosperous and strong!” #Tennessee,2019-03-05 00:11:58,Twitter for iPhone,6,31
Tune in now for @GovBillLee’s State of the State! https://t.co/rHBtX5vtDW,2019-03-05 00:02:03,Twitter for iPhone,1,4
