Once again Donald Trump ignores science and hurts our public health for his own benefit. The climate crisis is real and like the COVID-19 pandemic will get worse if we do not lead a strong response. https://t.co/Hsy35xyiSz,2020-08-13 20:48:00,TweetDeck,20,49,covid; 
|NEW: COVID-19 has put older workers’ retirement at risk. Here’s how stimulus legislation would help || by @LorieKonish   Featuring details of the new @JECDems report on retirement ahead of the anniversary of the Social Security Act: https://t.co/swCENRNoHo|,2020-08-13 19:45:12,Twitter Web App,15,11,covid; 
Six months after Trump predicted it would “just disappear” 160000 Americans have now died from COVID-19. He’s tweeting about football. https://t.co/aqeOFnZWkM,2020-08-10 18:16:41,Twitter for iPhone,64,224,covid; 
"Nearly 100000 children tested positive for the coronavirus in the last two weeks of July" https://t.co/YOuxhicWMW,2020-08-10 14:47:32,Twitter Web App,8,20,corona; 
Over 5000000 Americans have now tested positive for COVID-19.  We are not “doing very good.” https://t.co/A30SdH5mWY,2020-08-08 22:30:39,Twitter for iPhone,44,151,covid; 
Over 155000 Americans have died from COVID-19 and Trump has no plan to do anything about it. https://t.co/94CpKqBVQX,2020-08-03 13:12:56,Twitter for iPhone,76,276,covid; 
An Alexandria woman writes:  “I am currently furloughed due to the ongoing Corona virus pandemic and have been since April 7th. I am currently able to pay my rent and other expenses as well as afford groceries... I will not be able to do that once the additional $600 expires”,2020-07-31 15:03:32,Twitter Web App,8,30,corona; 
The United States passed 150000 deaths from COVID-19 today https://t.co/nVZB4eUcal,2020-07-28 22:20:00,TweetDeck,74,139,covid; 
Senate Republicans apparently plan to bomb the coronavirus https://t.co/1t38Z4kMsF,2020-07-28 14:04:32,Twitter for iPhone,163,453,corona; 
Senate Republicans just put a provision to spend nearly $2 billion of taxpayer funds on a new FBI building across the street from the Trump International Hotel in their PANDEMIC RESPONSE bill.  Flagrant corruption does not cure COVID-19. https://t.co/CrsLjPVfTb,2020-07-27 22:13:18,Twitter Web App,1693,2829,covid; 
Kentucky has one of the highest rates of COVID-19-related personal bankruptcies in the United States. https://t.co/OVWtuY0Cot  175000 workers in Kentucky will lose over half of their weekly income at the beginning of August.,2020-07-23 23:42:15,Twitter Web App,29,37,covid; 
Atlanta Journal Constitution: "Unemployment remains high as coronavirus slows recovery" https://t.co/QAeSZrTHLk  670000 workers in Georgia are set to lose three fifths of their weekly income at the beginning of August,2020-07-23 23:16:28,Twitter Web App,21,19,corona; 
"South Dakota women majority of unemployed amid COVID-19 pandemic" https://t.co/YmTbL2d678  Nearly 20000 workers in South Dakota are set to lose 60% of their weekly income at the beginning of August,2020-07-23 23:07:02,Twitter Web App,20,22,covid; 
Wyoming Public Radio: "'We Need Help': People At Higher Coronavirus Risk Fear Losing Federal Unemployment" https://t.co/9CyAdOFQQv  15000 workers in Wyoming are set to lose over half of their weekly income at the beginning of August,2020-07-23 22:58:52,Twitter Web App,24,21,corona; 
"Rising coronavirus infections threaten U.S. economic recovery. Utah’s unemployment claims remain high." https://t.co/GaPV5BfRnj  75000 workers in Utah are set to lose over half of their weekly income at the beginning of August.,2020-07-23 22:52:41,Twitter Web App,22,23,corona; 
And the country just passed 4 million confirmed cases of COVID-19. What a disaster. https://t.co/kNrG8NT0OR,2020-07-23 15:44:07,Twitter Web App,28,80,covid; 
Not enough people in Congress understand a key fact: the COVID-19 pandemic is hitting this country hard in part because we have the weakest #PaidSickLeave policies of any developed nation.  The stories in our new @JECDems report show why we have to make fixing this a priority. https://t.co/VpZjsNfUDj,2020-07-22 18:31:00,TweetDeck,28,93,covid; 
We cannot trust Trump not to interfere with public health data.   I just introduced the COVID-19 Data Transparency Act to codify standards for health departments to report key data to the CDC and require that information be shared with the public.  The people deserve to know. https://t.co/AynpHlAixY,2020-07-20 21:15:26,Twitter Web App,64,245,covid; 
The Trump Administration's strategy to confront the catastrophic rise in COVID-19 cases is to say "this is fine."  So many have died and so many more will die and all these people can do is lie about it. https://t.co/f7tDRF9wqD,2020-07-13 18:41:56,Twitter Web App,279,824,covid; 
The country passed 135000 deaths from COVID-19 as hot spot states continue to experience catastrophic case increases and the President is whining about FoxNews https://t.co/s0zRk82ERQ,2020-07-13 13:43:25,Twitter for iPhone,29,91,covid; 
The United States has a quarter of the world's COVID-19 cases and only 4% of its population.  So much failure. https://t.co/A5HjFqHD1Q,2020-07-08 16:09:49,TweetDeck,43,108,covid; 
This weekend Trump gave campaign speeches at taxpayer-funded events attacking millions of Americans and defending racist symbols to large audiences that did not wear masks or observe social distancing.  He had little to say about our 3 million COVID-19 cases and 130000 deaths.,2020-07-06 13:23:05,Twitter for iPhone,76,221,covid; 
