It is outrageous 😡 to me that our healthcare workers don’t have the #PPE 😷🥼🥽that they need. Our frontline healthcare workers are needlessly getting infected #COVID2019 and dying. @1199SEIU @CWADistrict1 @nynurses @32BJSEIU @DistCouncil37 #ppeforall #PPEshortage https://t.co/5j4zGlFDvh,2020-04-05 03:09:08,Twitter for iPhone,19,55,covid; 
Guess what @realDonaldTrump is doing to help save New Yorkers’ lives during #coronavirus pandemic? #PPE #DPAnow #VentilatorShortage,2020-04-05 00:50:37,Twitter for iPhone,12,10,corona; 
We New Yorkers are getting used to hearing sirens all day/nite long now. These sirens remind us of gravity of #coronavirus but also of the compassion of our fellow Americans. The heart of America runs deep and strong. All we can say is THANK YOU... https://t.co/M2cy3QsOAB,2020-04-04 20:41:19,Twitter for iPhone,16,59,corona; 
This is the same woman who celebrated COVID-19 for saving "more lives this week than it takes" after TX shut down abortion access. When she loses her election it will be because she failed by every measure to step up in TX's time of need.,2020-04-03 21:32:09,Twitter Web App,2,9,covid; 
In our next #coronavirus relief package we must ensure ALL workers are helped including our building trades profession like healthcare guarantees for those laid off expanded family leave and pension relief. @GoIUPAT @NYCBldgTrades @NABTU https://t.co/coJYwfTAtv,2020-04-02 17:08:11,Twitter for iPhone,12,18,corona; 
I spoke with @TheAtlantic's The Ticket about fighting to keep families safe from the coronavirus and how @realDonaldTrump and the @GOP's use of the phrase “Chinese virus” hurts our AAPI community in Queens and across the country.   Listen here: https://t.co/5cLVTY7QEd,2020-03-30 21:45:03,Sprout Social,8,24,corona; 
Headed to DC to vote on #coronavirus bill. Plane is pretty empty. Pray for America and our frontline workers. https://t.co/Mw3SQFKEnX,2020-03-27 12:02:28,Twitter for iPhone,175,2647,corona; 
NY has 10 times the number of coronavirus cases as WA &amp; 8 times that of CA but @realDonaldTrump has all but abandoned our state. New Yorkers are dying -- we need ventilators #PPE (personal protective equipment) &amp; personnel -- where is the White House? https://t.co/Lgk5J22Y9C,2020-03-26 23:57:00,Sprout Social,24,51,corona; 
He’s downplaying #coronavirus on tv but sending out private warnings to our homes. Anyone else get these? https://t.co/rm5C3CIp2H,2020-03-26 23:35:21,Twitter for iPhone,10,23,corona; 
Thanks to 104th family for keeping all of us safe practicing social distance and demonstrating creativity! :) https://t.co/GzPaIgGips,2020-03-26 19:16:18,Twitter for iPhone,4,9,social distance; 
No one should have to put their health at risk in order to vote. @TheDemocrats are fighting for accessible mail-in ballots extended in-person voting hours &amp; to make sure the coronavirus doesn't stop you from safely exercising this right. https://t.co/Lw5idkEuqy,2020-03-25 20:01:06,Sprout Social,26,110,corona; 
Here's your daily reminder not to use the term "Chinese virus" when talking about COVID-19. Americans are getting hurt. Together we have the power to stop the hate. https://t.co/rj2KvxsGhX,2020-03-23 22:48:00,Sprout Social,31,82,covid; 
Unfortunately coronavirus isn't the only thing we need to protect ourselves and our families from. We're seeing a rise in coronavirus related scams -- please read and share this guide on how to spot them and stop them: https://t.co/03FzcA8ENY,2020-03-22 22:38:00,Sprout Social,29,35,corona; 
